Date,CSUSHPINSA
2022-12-09,294.327
2022-12-10,294.327
2022-12-11,294.327
2022-12-12,294.327
2022-12-13,294.327
2022-12-14,294.327
2022-12-15,294.327
2022-12-16,294.327
2022-12-17,294.327
2022-12-18,294.327
2022-12-19,294.327
2022-12-20,294.327
2022-12-21,294.327
2022-12-22,294.327
2022-12-23,294.327
2022-12-24,294.327
2022-12-25,294.327
2022-12-26,294.327
2022-12-27,294.327
2022-12-28,294.327
2022-12-29,294.327
2022-12-30,294.327
2022-12-31,294.327
2023-01-01,292.789
2023-01-02,292.789
2023-01-03,292.789
2023-01-04,292.789
2023-01-05,292.789
2023-01-06,292.789
2023-01-07,292.789
2023-01-08,292.789
2023-01-09,292.789
2023-01-10,292.789
2023-01-11,292.789
2023-01-12,292.789
2023-01-13,292.789
2023-01-14,292.789
2023-01-15,292.789
2023-01-16,292.789
2023-01-17,292.789
2023-01-18,292.789
2023-01-19,292.789
2023-01-20,292.789
2023-01-21,292.789
2023-01-22,292.789
2023-01-23,292.789
2023-01-24,292.789
2023-01-25,292.789
2023-01-26,292.789
2023-01-27,292.789
2023-01-28,292.789
2023-01-29,292.789
2023-01-30,292.789
2023-01-31,292.789
2023-02-01,293.453
2023-02-02,293.453
2023-02-03,293.453
2023-02-04,293.453
2023-02-05,293.453
2023-02-06,293.453
2023-02-07,293.453
2023-02-08,293.453
2023-02-09,293.453
2023-02-10,293.453
2023-02-11,293.453
2023-02-12,293.453
2023-02-13,293.453
2023-02-14,293.453
2023-02-15,293.453
2023-02-16,293.453
2023-02-17,293.453
2023-02-18,293.453
2023-02-19,293.453
2023-02-20,293.453
2023-02-21,293.453
2023-02-22,293.453
2023-02-23,293.453
2023-02-24,293.453
2023-02-25,293.453
2023-02-26,293.453
2023-02-27,293.453
2023-02-28,293.453
2023-03-01,297.336
2023-03-02,297.336
2023-03-03,297.336
2023-03-04,297.336
2023-03-05,297.336
2023-03-06,297.336
2023-03-07,297.336
2023-03-08,297.336
2023-03-09,297.336
2023-03-10,297.336
2023-03-11,297.336
2023-03-12,297.336
2023-03-13,297.336
2023-03-14,297.336
2023-03-15,297.336
2023-03-16,297.336
2023-03-17,297.336
2023-03-18,297.336
2023-03-19,297.336
2023-03-20,297.336
2023-03-21,297.336
2023-03-22,297.336
2023-03-23,297.336
2023-03-24,297.336
2023-03-25,297.336
2023-03-26,297.336
2023-03-27,297.336
2023-03-28,297.336
2023-03-29,297.336
2023-03-30,297.336
2023-03-31,297.336
2023-04-01,301.469
2023-04-02,301.469
2023-04-03,301.469
2023-04-04,301.469
2023-04-05,301.469
2023-04-06,301.469
2023-04-07,301.469
2023-04-08,301.469
2023-04-09,301.469
2023-04-10,301.469
2023-04-11,301.469
2023-04-12,301.469
2023-04-13,301.469
2023-04-14,301.469
2023-04-15,301.469
2023-04-16,301.469
2023-04-17,301.469
2023-04-18,301.469
2023-04-19,301.469
2023-04-20,301.469
2023-04-21,301.469
2023-04-22,301.469
2023-04-23,301.469
2023-04-24,301.469
2023-04-25,301.469
2023-04-26,301.469
2023-04-27,301.469
2023-04-28,301.469
2023-04-29,301.469
2023-04-30,301.469
2023-05-01,305.337
2023-05-02,305.337
2023-05-03,305.337
2023-05-04,305.337
2023-05-05,305.337
2023-05-06,305.337
2023-05-07,305.337
2023-05-08,305.337
2023-05-09,305.337
2023-05-10,305.337
2023-05-11,305.337
2023-05-12,305.337
2023-05-13,305.337
2023-05-14,305.337
2023-05-15,305.337
2023-05-16,305.337
2023-05-17,305.337
2023-05-18,305.337
2023-05-19,305.337
2023-05-20,305.337
2023-05-21,305.337
2023-05-22,305.337
2023-05-23,305.337
2023-05-24,305.337
2023-05-25,305.337
2023-05-26,305.337
2023-05-27,305.337
2023-05-28,305.337
2023-05-29,305.337
2023-05-30,305.337
2023-05-31,305.337
2023-06-01,308.256
2023-06-02,308.256
2023-06-03,308.256
2023-06-04,308.256
2023-06-05,308.256
2023-06-06,308.256
2023-06-07,308.256
2023-06-08,308.256
2023-06-09,308.256
2023-06-10,308.256
2023-06-11,308.256
2023-06-12,308.256
2023-06-13,308.256
2023-06-14,308.256
2023-06-15,308.256
2023-06-16,308.256
2023-06-17,308.256
2023-06-18,308.256
2023-06-19,308.256
